Time	U1	Uc1	I2	U2
0.023500	-3.500000	-2.026934	-0.000941	0.296774
0.023600	-3.600000	-2.127476	-0.000957	0.293124
0.023700	-3.700000	-2.228018	-0.000974	0.289410
0.023800	-3.800000	-2.328561	-0.000990	0.285633
0.023900	-3.900000	-2.429103	-0.001006	0.281794
0.024000	-4.000000	-2.529645	-0.001023	0.277891
0.024100	-4.100000	-2.630187	-0.001039	0.273926
0.024200	-4.200000	-2.730728	-0.001055	0.269899
0.024300	-4.300000	-2.831269	-0.001071	0.265809
0.024400	-4.400000	-2.931809	-0.001087	0.261658
0.024500	-4.500000	-3.032348	-0.001103	0.257445
0.024600	-4.600000	-3.132887	-0.001119	0.253171
0.024700	-4.700000	-3.233424	-0.001135	0.248835
0.024800	-4.800000	-3.333961	-0.001151	0.244439
0.024900	-4.900000	-3.434497	-0.001167	0.239982
0.025000	-5.000000	-3.535031	-0.001182	0.235465
0.025100	-5.100000	-3.635564	-0.001198	0.230887
0.025200	-5.200000	-3.736096	-0.001214	0.226250
0.025300	-5.300000	-3.836627	-0.001229	0.221552
0.025400	-5.400000	-3.937156	-0.001244	0.216796
0.025500	-5.500000	-4.037684	-0.001260	0.211980
0.025600	-5.600000	-4.138211	-0.001275	0.207105
0.025700	-5.700000	-4.238736	-0.001290	0.202172
0.025800	-5.800000	-4.339259	-0.001305	0.197181
0.025900	-5.900000	-4.439781	-0.001320	0.192131
0.026000	-6.000000	-4.540301	-0.001335	0.187024
0.026100	-6.100000	-4.640820	-0.001350	0.181859
0.026200	-6.200000	-4.741336	-0.001365	0.176636
0.026300	-6.300000	-4.841851	-0.001380	0.171357
0.026400	-6.400000	-4.942364	-0.001395	0.166021
0.026500	-6.500000	-5.042875	-0.001409	0.160629
0.026600	-6.600000	-5.143384	-0.001424	0.155181
0.026700	-6.700000	-5.243891	-0.001438	0.149676
0.026800	-6.800000	-5.344397	-0.001453	0.144117
0.026900	-6.900000	-5.444900	-0.001467	0.138502
0.027000	-7.000000	-5.545401	-0.001481	0.132832
0.027100	-7.100000	-5.645900	-0.001495	0.127107
0.027200	-7.200000	-5.746397	-0.001510	0.121329
0.027300	-7.300000	-5.846892	-0.001524	0.115496
0.027400	-7.400000	-5.947384	-0.001537	0.109609
0.027500	-7.500000	-6.047875	-0.001551	0.103669
0.027600	-7.600000	-6.148363	-0.001565	0.097676
0.027700	-7.700000	-6.248848	-0.001579	0.091630
0.027800	-7.800000	-6.349332	-0.001592	0.085532
0.027900	-7.900000	-6.449813	-0.001606	0.079381
0.028000	-8.000000	-6.550292	-0.001619	0.073179
0.028100	-8.100000	-6.650768	-0.001633	0.066925
0.028200	-8.200000	-6.751242	-0.001646	0.060620
0.028300	-8.300000	-6.851714	-0.001659	0.054264
0.028400	-8.400000	-6.952183	-0.001672	0.047858
0.028500	-8.500000	-7.052650	-0.001685	0.041401
0.028600	-8.600000	-7.153114	-0.001698	0.034895
0.028700	-8.700000	-7.253575	-0.001711	0.028339
0.028800	-8.800000	-7.354034	-0.001724	0.021734
0.028900	-8.900000	-7.454491	-0.001736	0.015080
0.029000	-9.000000	-7.554945	-0.001749	0.008377
0.029100	-9.100000	-7.655396	-0.001761	0.001627
0.029200	-9.200000	-7.755844	-0.001774	-0.005172
0.029300	-9.300000	-7.856290	-0.001786	-0.012017
0.029400	-9.400000	-7.956734	-0.001798	-0.018911
0.029500	-9.500000	-8.057174	-0.001810	-0.025850
0.029600	-9.600000	-8.157612	-0.001822	-0.032837
0.029700	-9.700000	-8.258047	-0.001834	-0.039869
0.029800	-9.800000	-8.358479	-0.001846	-0.046947
0.029900	-9.900000	-8.458908	-0.001858	-0.054070
0.030000	-10.000000	-8.559335	-0.001870	-0.061238
0.030100	-9.900000	-8.653222	-0.001880	-0.068450
0.030200	-9.800000	-8.734594	-0.001889	-0.075699
0.030300	-9.700000	-8.804255	-0.001896	-0.082979
0.030400	-9.600000	-8.862959	-0.001902	-0.090284
0.030500	-9.500000	-8.911412	-0.001906	-0.097608
0.030600	-9.400000	-8.950273	-0.001909	-0.104945
0.030700	-9.300000	-8.980160	-0.001910	-0.112290
0.030800	-9.200000	-9.001650	-0.001911	-0.119638
0.030900	-9.100000	-9.015284	-0.001910	-0.126985
0.031000	-9.000000	-9.021567	-0.001908	-0.134327
0.031100	-8.900000	-9.020972	-0.001905	-0.141658
0.031200	-8.800000	-9.013942	-0.001901	-0.148977
0.031300	-8.700000	-9.000891	-0.001896	-0.156278
0.031400	-8.600000	-8.982207	-0.001890	-0.163559
0.031500	-8.500000	-8.958252	-0.001884	-0.170817
